T in [deg C],u(T) in [deg C],P in [mW],u(P) in [mW]
15,0.1,1.3,0.4
17,0.1,1.2,0.3
19,0.1,0.9,0.3
21,0.1,1.2,0.3
23,0.1,1.8,0.1
25,0.1,1.9,0.1
27,0.1,0.7,0.4
29,0.1,0.013,0.001
31,0.1,0.014,0.001
33,0.1,0.015,0.001
35,0.1,0.014,0.001
37,0.1,0.015,0.001
39,0.1,0.013,0.001
