I in [mA],u(I) in [mA],P in [mW],u(P) in [mW]
560,0.1,20,3
540,0.1,19,3
520,0.1,19,2
500,0.1,20,3
480,0.1,20,2
460,0.1,19,3
440,0.1,17,2
420,0.1,18,3
400,0.1,16,2
380,0.1,17,2
360,0.1,16,2
340,0.1,17,2
320,0.1,14,2
300,0.1,14,2
280,0.1,12,2
