I in [mA],u(I) in [mA],P in [mW],u(P) in [mW]
510,0.1,69,3
500,0.1,63,3
490,0.1,64,3
480,0.1,56,2
460,0.1,50,3
440,0.1,41,3
420,0.1,36,3
400,0.1,31,4
380,0.1,25,3
360,0.1,20,2
