T in [deg C],u(T) in [deg C],P in [mW],u(P) in [mW]
15,0.1,8.7,0.1
17,0.1,8.6,0.3
19,0.1,9.4,0.5
21,0.1,10.4,0.5
23,0.1,10.9,0.6
25,0.1,8.4,0.9
27,0.1,3.0,1
29,0.1,0.9,0.4
31,0.1,0.3,0.2
33,0.1,1.2,0.4
35,0.1,1.7,0.8
37,0.1,2.6,1
39,0.1,2.5,0.6
