T in [deg],u(T) in [deg],P in [mW],u(P) in [mW]
15,0.1,32,5
17,0.1,30,2
19,0.1,28,2
21,0.1,23,1
23,0.1,18,3
25,0.1,21,6
27,0.1,49,6
29,0.1,60,4
31,0.1,53,2
33,0.1,64,2
35,0.1,59,1
37,0.1,51,5
39,0.1,59,7
41,0.1,69,7
43,0.1,77,2
45,0.1,78,1
47,0.1,77,1
49,0.1,74,1
