T in [deg],u(T) in [deg],P in [mW],u(P) in [mW]
15,0.1,40,1
17,0.1,41,2
19,0.1,33,3
21,0.1,28,1
23,0.1,30,7
25,0.1,58,4
27,0.1,83,5
29,0.1,96,5
31,0.1,93,5
33,0.1,90,2
35,0.1,76,2
37,0.1,63,5
39,0.1,87,4
41,0.1,117,1
43,0.1,121,5
45,0.1,124,2
47,0.1,120,1
49,0.1,106,3
