I in [mA],u(I) in [mA],T in [deg C],u(T) in [deg C]
550,0.1,21.12,0.5
450,0.1,23.7,0.5
350,0.1,26.3,0.5
250,0.1,28.48,0.5
150,0.1,31.9,0.5
50,0.1,34.1,0.5
