MESSNUMMER,DATEINAME,AUFNAHMEJAHR,AUFNAHMEMONAT,AUFNAHMETAG,AUFNAHMESTUNDE,AUFNAHMEMINUTE,AUFNAMESEKUNDE,VERSCHIEBUNG (ALT),VERSCHIEBUNG (AZ),GESAMTSONNENLEISTUNG
0000,halloartemis,2024,01,31,09,15,22,0,0,100
0001,halloartemis,2024,01,31,09,15,22,0.5,0,200
0002,halloartemis,2024,01,31,09,15,22,1,0,300
0003,halloartemis,2024,01,31,09,15,22,0,0.5,400
0004,halloartemis,2024,01,31,09,15,22,0.5,0.5,500
0005,halloartemis,2024,01,31,09,15,22,1,0.5,600
0006,halloartemis,2024,01,31,09,15,22,0,1,700
0007,halloartemis,2024,01,31,09,15,22,0.5,1,800
0008,halloartemis,2024,01,31,09,15,22,1,1,900
0009,halloartemis,2024,01,31,09,15,22,1,1.5,1000
0010,halloartemis,2024,01,31,09,15,22,1,1.5,1000
0011,halloartemis,2024,01,31,09,15,22,1,1.5,1000
0012,halloartemis,2024,01,31,10,15,22,1.5,1.5,1000
0013,halloartemis,2024,01,31,10,15,22,1.5,2,1000
0014,halloartemis,2024,01,31,10,15,22,2,2,1000
0015,halloartemis,2024,01,31,10,15,22,2,2,1000
0016,halloartemis,2024,01,31,10,15,22,2,2,1000
4,halloartemis,2024,01,31,10,15,22,2,2,1000
4,halloartemis,2024,01,31,10,15,22,2,2,1000
4,halloartemis,2024,01,31,10,15,22,2,2,1000
,halloartemis,2024,01,31,10,15,22,2,2,1000
0000,halloartemis,2024,01,31,10,15,22,2,2,1000
