MESSNUMMER,DATEINAME,AUFNAHMEJAHR,AUFNAHMEMONAT,AUFNAHMETAG,AUFNAHMESTUNDE,AUFNAHMEMINUTE,AUFNAMESEKUNDE,VERSCHIEBUNG (ALT),VERSCHIEBUNG (AZ),GESAMTSONNENLEISTUNG
0000,halloartemis,2024,01,31,08,15,0,1,3.14,1
0001,halloartemis,2024,01,31,08,15,0,2,3.14,2
0002,halloartemis,2024,01,31,08,15,0,3,3.14,3
0003,halloartemis,2024,01,31,08,15,0,4,3.14,4
0004,halloartemis,2024,01,31,08,15,0,5,3.14,5
0005,halloartemis,2024,01,31,08,15,0,6,3.14,6
0006,halloartemis,2024,01,31,08,15,0,7,3.14,7
0007,halloartemis,2024,01,31,08,15,0,8,3.14,8
0008,halloartemis,2024,01,31,08,15,0,9,3.14,9
0009,halloartemis,2024,01,31,08,15,0,10,3.14,10
