MESSNUMMER,DATEINAME,AUFNAHMEJAHR,AUFNAHMEMONAT,AUFNAHMETAG,AUFNAHMESTUNDE,AUFNAHMEMINUTE,AUFNAMESEKUNDE,VERSCHIEBUNG (ALT),VERSCHIEBUNG (AZ),GESAMTSONNENLEISTUNG
0000,halloartemis,2024,01,31,09,15,22,0,0,1000
0001,halloartemis,2024,01,31,09,15,22,0,1,900
0002,halloartemis,2024,01,31,09,15,22,0,2,700
0003,halloartemis,2024,01,31,09,15,22,0,3,500
0004,halloartemis,2024,01,31,09,15,22,0,4,200
0005,halloartemis,2024,01,31,09,15,22,1,0,1000
0006,halloartemis,2024,01,31,09,15,22,1,1,900
0007,halloartemis,2024,01,31,09,15,22,1,2,700
0008,halloartemis,2024,01,31,09,15,22,1,3,500
0009,halloartemis,2024,01,31,09,15,22,1,4,200
0010,halloartemis,2024,01,31,09,15,22,2,0,1000
0011,halloartemis,2024,01,31,09,15,22,2,1,900
0012,halloartemis,2024,01,31,09,15,22,2,2,700
0013,halloartemis,2024,01,31,09,15,22,2,3,500
0014,halloartemis,2024,01,31,09,15,22,2,4,200
0015,halloartemis,2024,01,31,09,15,22,3,0,1000
0016,halloartemis,2024,01,31,09,15,22,3,1,900
0017,halloartemis,2024,01,31,09,15,22,3,2,700
0018,halloartemis,2024,01,31,09,15,22,3,3,500
0019,halloartemis,2024,01,31,09,15,22,3,4,200
0020,halloartemis,2024,01,31,09,15,22,4,0,1000
0021,halloartemis,2024,01,31,09,15,22,4,1,900
0022,halloartemis,2024,01,31,09,15,22,4,2,700
0023,halloartemis,2024,01,31,09,15,22,4,3,500
0024,halloartemis,2024,01,31,09,15,22,4,4,200
0025,halloartemis,2024,01,31,09,15,22,5,0,1000
0026,halloartemis,2024,01,31,09,15,22,5,1,900
0027,halloartemis,2024,01,31,09,15,22,5,2,700
0028,halloartemis,2024,01,31,09,15,22,1,1,900
0029,halloartemis,2024,01,31,09,15,22,1,1,900
0030,halloartemis,2024,01,31,09,15,22,1,1,900
0031,halloartemis,2024,01,31,09,15,22,1,1,900
0032,halloartemis,2024,01,31,09,15,22,1,1,900
0033,halloartemis,2024,01,31,09,15,22,1,1,900
0034,halloartemis,2024,01,31,09,15,22,1,1,900
